Orders,Family,Genus,Species,CommonName,Necropsies,NeoplasiaPrevalence,MalignancyPrevalence,brightness_dimorphism,hue_dimorphism,M_dimorphism,Tail_dimorphism,adult_mass,IncubationLength,ClutchSize,max_longevity,Note
Passeriformes,Irenidae,Irena,Irena_cyanogaster,philippine fairy bluebird,37,0.027027027,0.027027027,,,,,,,,,
Passeriformes,Thraupidae,Dacnis,Dacnis_lineata,black-faced dacnis,42,0.047619048,0,,,,,11.25,,,,
Passeriformes,Leiothrichidae,Leiothrix,Leiothrix_lutea,red-billed leiothrix,42,0.047619048,0,,,,,21.5,0.394477318,2.82,180,
Passeriformes,Fringillidae,Fringilla,Fringilla_coelebs,chaffinch,45,0,0,1.385944896,0.266731746,1.014640264,1.019494035,20.7,,4.5,348,
Passeriformes,Sturnidae,Leucopsar,Leucopsar_rothschildi,Bali myna,52,0.115384615,0.096153846,,,,,95,0.427350427,,300,
Passeriformes,Sturnidae,Cosmopsarus,Cosmopsarus_regius,royal starling,53,0.018867925,0.018867925,,,1.09729189,,,,,,
Passeriformes,Muscicapidae,Copsychus,Copsychus_malabaricus,white-rumped shama,59,0,0,,,,,29.35,0.460223537,3.95,84,Longevity from AnAge
Passeriformes,Pittidae,Pitta,Pitta_sordida,hooded pitta,89,0,0,,,,,64,,3.85,,
Passeriformes,Estrildidae,Chloebia,Erythrura_gouldiae,Gouldian finch,121,0.041322314,0.041322314,0.479657786,0.270142723,,,12,0.427350427,5.7,6,
Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus_occidentalis,brown pelican,23,0.086956522,0.043478261,,,1.019221619,1.003319379,3115.8,0.953320184,2.6,516,
Pelecaniformes,Ardeidae,Egretta,Egretta_garzetta,little egret,28,0,0,,,1.013563012,1.009172352,312,,,267.6,
Pelecaniformes,Ardeidae,Bubulcus,Bubulcus_ibis,cattle egret,30,0,0,0.967976909,0.239587976,1.003982001,1.003881937,390,0.723208416,4.25,276,
Pelecaniformes,Threskiornithidae,Platalea,Platalea_ajaja,roseate spoonbill,31,0.290322581,0,,,,,1036.97,0.756081525,,336,
Pelecaniformes,Threskiornithidae,Theristicus,Theristicus_melanopis,black-faced ibis,72,0,0,,,,,1200,,2.4,414,
Pelecaniformes,Threskiornithidae,Eudocimus,Eudocimus_ruber,scarlet ibis,105,0.028571429,0,,,,,615,0.756081525,,398,
Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus_chilensis,chilean flamingo,82,0.06097561,0.036585366,,,,,2277,,,440,
Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus_ruber,american flamingo,101,0.02970297,0.00990099,,,1.044529299,1.029474644,3065.8,,,528,
Piciformes,Ramphastidae,Pteroglossus,Pteroglossus_aracari,black-necked aracari,54,0.055555556,0.018518519,,,,,261.75,,2.9,,
Piciformes,Ramphastidae,Ramphastos,Ramphastos_swainsonii,Swainson's toucan,102,0.039215686,0.019607843,,,,,,,,285.6,
Podicipediformes,Podicipedidae,Podilymbus,Taeniopygia_bichenovii,double-barred finch,32,0.03125,0,,,,,9.5,,4.5,64.8,Longevity from AnAge
Psittaciformes,Cacatuidae,Cacatua,Cacatua_moluccensis,salmon-crested cockatoo,20,0.05,0,,,,,830,,,789.6,
Psittaciformes,Psittacidae,Lorius,Lorius_garrulus,chattering lory,20,0,0,,,,,143,,,319.2,
Psittaciformes,Psittacidae,Aratinga,Aratinga_solstitialis,sun parakeet,21,0,0,,,,,110.965,,,,
Psittaciformes,Loriidae,Lorius,Lorius_lory,black-capped lory,22,0,0,,,,,177,,,222,
Psittaciformes,Psittacidae,Rhynchopsitta,Rhynchopsitta_pachyrhyncha,thick-billed parrot,23,0,0,,,1.01285714,,360,0.854700855,2.925,396,
Psittaciformes,Psittacidae,Vini,Vini_australis,blue-crowned lorikeet,27,0,0,,,,,,,,163.2,
Psittaciformes,Psittacidae,Agapornis,Agapornis_fischeri,Fischer's lovebird,28,0.142857143,0.071428571,,,,1,48.3,,5.5,151.2,
Psittaciformes,Psittacidae,Anodorhynchus,Anodorhynchus_hyacinthinus,hyacinth macaw,31,0.096774194,0.032258065,,,,,1330,,2.2,466,
Psittaciformes,Psittacidae,Neophema,Neophema_splendida,scarlet-chested parrot,33,0.03030303,0.03030303,,,,1.013769343,38.6,,,168,
Psittaciformes,Psittaculidae,Eos,Eos_bornea,red lory,60,0.016666667,0,,,,,156,,,296.4,
Psittaciformes,Cacatuidae,Nymphicus,Nymphicus_hollandicus,cockatiel,70,0.114285714,0.1,1.191198807,-0.684567111,0.997684626,1.017122649,90,,4.5,420,
Psittaciformes,Psittaculidae,Trichoglossus,Trichoglossus_moluccanus,rainbow lorikeet,80,0,0,,,,,119.55,,,193,
Psittaciformes,Psittacidae,Agapornis,Agapornis_nigrigenis,black-cheeked Lovebird,108,0.018518519,0,,,,,40.45,,4.9,,
Psittaciformes,Psittaculidae,Trichoglossus,Trichoglossus_haematodus,coconut lorikeet,190,0.026315789,0.015789474,1.004040097,1.138499266,1.011389179,1.000146376,115.1,,,247.2,
Psittaciformes,Psittaculidae,Melopsittacus,Melopsittacus_undulatus,budgerigar,477,0.20754717,0.174004193,0.430998557,0.818618707,1.005122085,1.01780506,30,0.591715976,,252,
Rheiformes,Rheidae,Rhea,Rhea_americana,greater rhea,21,0.142857143,0.095238095,,,,,23000,1.183431953,23.714,600,
Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes_chrysocome,Southern rockhopper penguin,29,0.068965517,0.068965517,,,1.003114546,,2470,,,,
Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus_demersus,African penguin,210,0,0,,,1.014593533,,3135,,,327.6,
Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus_humboldti,Humboldt penguin,376,0.0106383,0.00531915,,,,,4379,,,360,
Strigiformes,Strigidae,Athene,Athene_cunicularia,burrowing owl,24,0.208333333,0.166666667,,,,,150,0.920447074,,132,
Strigiformes,Strigidae,Megascops,Megascops_asio,eastern screech owl,36,0.111111111,0.083333333,,,,,164.1,0.953320184,4.25,248,
Tinamiformes,Tinamidae,Eudromia,Eudromia_elegans,martineta tinamou,22,0,0,,,,,678,,,,
