Species,Order,ICM,CMR,NMalignant_CMR,NMalignant_ICM,NNecropsies,Mass,MaxLongevity
Suricata_suricatta,Carnivora,0.128185867,0.07748184,32,53,413,1.04116378,247.2
Syncerus_caffer,Artiodactyla,0,0,0,0,22,441.5775812,393.6
Tapirus_indicus,Perissodactyla,0.089729931,0.2,4,2,20,328.4090756,438
Tapirus_terrestris,Perissodactyla,0.008015927,0.023809524,1,0,42,207.3131815,475.2
Theropithecus_gelada,Primates,0,0,0,0,22,18.01713628,432
Tragelaphus_angasii,Artiodactyla,0.010195515,0.019607843,2,1,102,79.01699454,276
Tragelaphus_eurycerus,Artiodactyla,0.029355348,0.042253521,3,2,71,250.0068488,264
Tragelaphus_imberbis,Artiodactyla,0.069334124,0.052631579,2,3,38,72.70227961,237.6
Tragelaphus_oryx,Artiodactyla,0.006793696,0.014705882,2,1,136,373.0235703,313.2
Tragelaphus_strepsiceros,Artiodactyla,0.032075873,0.033613445,4,4,119,193.4618708,282
Tragulus_javanicus,Artiodactyla,NA,0,0,NA,47,1.714652803,168
Tupaia_belangeri,Scandentia,0.096262762,0.125,3,2,24,0.191728725,133.2
Ursus_arctos,Carnivora,0.066686743,0.1,4,3,40,265.5535921,480
Ursus_maritimus,Carnivora,0.048881568,0.045454545,1,1,22,344.7606256,525.6
Varecia_rubra,Primates,0.156497697,0.185185185,10,8,54,3.745563767,450
Varecia_variegata,Primates,0.074174267,0.065934066,6,7,91,3.80938186,480
Vulpes_zerda,Carnivora,0.14810389,0.142857143,6,6,42,1.362992889,195.6
Zalophus_californianus,Carnivora,0.149086184,0.088888889,4,7,45,141.8526049,428.4
